STFID Number,County,Census Tract,Population,% Whites,% African Americans,% Native Americans,% Asians,% Pacific Islanders,% Persons of Other Races,% Persons of More than One Race,Hispanics of Any Race,% Hispanics of Any Race,Minority Persons,% Minority Persons,Median Household Income,% Persons Below Poverty Level,Median Home Value,Owner-Occupied Units,Renter-Occupied Units,% Owner-Occupied Units,% Renter-Occupied Units
290959808021,Jackson,9808.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290470211026,Clay,211.02,768,78.9,9,1,2.3,2.6,1.4,4.7,41,5.3,182,23.7,77412,7.7,127652,202,125,61.8,38.2
290959801011,Jackson,9801.01,8,0,100,0,0,0,0,0,0,0,8,100,0,0,0,0,2,0,100
290470202013,Clay,202.01,1335,54.7,14.9,0.7,19.4,2,4,4.3,115,8.6,653,48.9,43704,16,100543,170,321,34.6,65.4
290950075003,Jackson,75,1144,72,16.8,0.9,1.5,0,6.6,2.2,62,5.4,349,30.5,40833,39,133036,73,107,40.6,59.4
290950152001,Jackson,152,1727,77.2,15.3,0.5,1.9,0.1,2,3,83,4.8,428,24.8,42237,17.4,233203,186,829,18.3,81.7
290370603051,Cass,603.05,4416,88,8.2,0.6,0.8,0,0.6,1.7,154,3.5,639,14.5,80579,9.3,183018,1494,54,96.5,3.5
290950134011,Jackson,134.01,1349,42.6,34.9,0.2,2.2,0,14.9,5.2,342,25.4,891,66,36000,29.4,135294,264,219,54.7,45.3
290950182001,Jackson,182,3225,83.6,11,0.2,1.8,0.1,1.1,2.2,122,3.8,599,18.6,110923,1.7,255527,944,40,95.9,4.1
290470213091,Clay,213.09,3995,89.8,3.1,0.1,5.2,0,0.5,1.3,129,3.2,514,12.9,128810,0.9,363667,995,292,77.3,22.7
290950021001,Jackson,21,608,62.7,10.4,0.5,9,0,11.7,5.8,220,36.2,361,59.4,30862,33.3,41955,122,94,56.5,43.5
290950061002,Jackson,61,599,1.7,93.2,0,0.2,0,0.5,4.5,16,2.7,590,98.5,28043,43.2,64754,184,82,69.2,30.8
290950065001,Jackson,65,837,60,30.8,1,2.6,0,2.6,3,52,6.2,360,43,50000,16.1,141538,148,274,35.1,64.9
290950133013,Jackson,133.01,1008,78.1,10.5,1.9,1.2,0.1,6.3,2,113,11.2,252,25,60441,5.3,83409,313,77,80.3,19.7
290950009003,Jackson,9,544,52.9,14,0.4,6.8,0,21.7,4.2,190,34.9,315,57.9,32895,33.3,68247,102,94,52,48
290950018003,Jackson,18,785,32.7,41.1,0.5,3.8,0.8,19.5,1.5,220,28,582,74.1,24286,26.5,87273,69,156,30.7,69.3
290950007004,Jackson,7,1057,44.4,9.3,0.8,7.1,0.2,34.4,3.9,527,49.9,737,69.7,25769,33.6,70238,196,140,58.3,41.7
290950124002,Jackson,124,770,81.6,11.3,0.1,0.4,0,2.9,3.8,58,7.5,166,21.6,75556,5.5,120417,244,71,77.5,22.5
291650302101,Platte,302.1,1720,82.1,7.8,0.2,4.7,0.3,1.9,3,106,6.2,369,21.5,84709,13.6,241608,413,174,70.4,29.6
290950139012,Jackson,139.01,3220,97,0.6,0.4,0.5,0.2,0.5,0.8,43,1.3,119,3.7,80512,2.3,294692,1110,88,92.7,7.3
291650304012,Platte,304.01,1852,95,0.9,0.2,0.8,0.1,1.2,1.8,86,4.6,149,8,113176,1.9,283571,555,21,96.4,3.6
290950116002,Jackson,116,908,86.2,3.5,1.5,0.9,1.1,2.1,4.6,52,5.7,145,16,34302,21.6,74344,197,197,50,50
290950010003,Jackson,10,1328,19.9,67.1,0.4,4.5,0,3,5.1,94,7.1,1108,83.4,14056,33.4,114286,67,417,13.8,86.2
290950150003,Jackson,150,1061,94.3,0.5,0.7,0.3,0.3,1.8,2.3,43,4.1,84,7.9,45417,5.8,104167,283,113,71.5,28.5
290950054001,Jackson,54,903,4.4,90.3,0.1,0.4,0,2.2,2.5,32,3.5,870,96.3,22500,42.9,85789,150,208,41.9,58.1
290950181003,Jackson,181,1735,78.7,15.6,0.3,2.9,0,0.3,2.1,56,3.2,410,23.6,101027,1,274202,535,18,96.7,3.3
290950132034,Jackson,132.03,952,23.7,65,0,0.4,0.1,6.2,4.5,95,10,746,78.4,22226,28.2,76129,136,185,42.4,57.6
290950106004,Jackson,106,660,55.2,22.4,1.1,0.3,0.2,17.7,3.2,141,21.4,305,46.2,32578,6.1,78200,181,54,77,23
291650302111,Platte,302.11,791,86.1,7,0,1.4,0.5,1.8,3.3,42,5.3,131,16.6,56622,10,204358,274,83,76.8,23.2
290950088005,Jackson,88,973,3,95.5,0.2,0,0,0.3,1,13,1.3,945,97.1,29934,30.3,65577,202,189,51.7,48.3
290470217011,Clay,217.01,1267,95.2,0.8,0.3,0.8,0,0.2,2.7,40,3.2,91,7.2,36154,8.3,126741,332,127,72.3,27.7
290950149041,Jackson,149.04,1873,87.5,5.6,0.6,1,0.2,1.9,3.3,123,6.6,307,16.4,51111,9.7,144746,510,167,75.3,24.7
291650300021,Platte,300.02,819,92.6,2.4,0.5,1.3,0.2,1.3,1.6,24,2.9,74,9,56731,18.6,135811,236,83,74,26
290950113001,Jackson,113,2771,85.1,6.1,0.4,0.4,1.6,1.7,4.8,168,6.1,485,17.5,35947,24.2,92290,792,322,71.1,28.9
290950136084,Jackson,136.08,2221,85.4,8.6,0.1,2.3,0,0.8,2.8,80,3.6,387,17.4,82831,11.5,195956,645,109,85.5,14.5
290950140052,Jackson,140.05,3197,95.4,0.6,0.8,0.8,0.3,0.8,1.3,108,3.4,216,6.8,59375,5.4,115436,772,343,69.2,30.8
290950090004,Jackson,90,1115,13.5,80.7,0.3,0.4,0,1,4,29,2.6,969,86.9,42344,14.6,72725,306,130,70.2,29.8
290470218053,Clay,218.05,3409,96.7,0.1,0.6,0.2,0.2,0.4,1.6,100,2.9,179,5.3,71405,2.3,149792,980,222,81.5,18.5
291650303057,Platte,303.05,708,88.4,5.4,0.1,0.4,0.1,2,3.5,57,8.1,116,16.4,75493,6,176582,176,62,73.9,26.1
290470206041,Clay,206.04,1237,72.7,13.3,0.6,4,0.3,5.7,3.3,131,10.6,389,31.4,62736,11,123005,300,176,63,37
290950076003,Jackson,76,876,4.7,91.8,0,0.1,0.1,0.7,2.6,16,1.8,835,95.3,27500,34,57591,194,135,59,41
290950008002,Jackson,8,1274,44,17.2,1.9,3.4,0.1,26.8,6.7,555,43.6,889,69.8,26786,30.3,65645,225,156,59.1,40.9
290950142043,Jackson,142.04,3404,69.6,24.4,0.4,0.9,0.1,0.9,3.7,106,3.1,1096,32.2,54028,10.5,155567,549,715,43.4,56.6
290950134101,Jackson,134.1,3438,65.7,23.3,0.7,1.3,0.1,3.9,4.9,271,7.9,1261,36.7,30915,26,77867,479,952,33.5,66.5
290470222002,Clay,222,719,89,3.6,1.7,1.5,0,1.4,2.8,43,6,98,13.6,61016,2.5,98923,214,62,77.5,22.5
290370600043,Cass,600.04,997,75.9,6.1,1.4,2.3,0,9.9,4.3,148,14.8,273,27.4,35417,17.7,18668,164,222,42.5,57.5
290950115002,Jackson,115,1037,75.5,12.6,0.6,0.9,0.2,4.1,6.2,72,6.9,281,27.1,22700,29.5,74321,219,173,55.9,44.1
290950085002,Jackson,85,745,91.9,2.6,0.3,3.2,0,1.1,0.9,17,2.3,70,9.4,127344,3.1,336194,317,10,96.9,3.1
290470212053,Clay,212.05,1989,83.1,8.4,0,2.1,0.2,2.5,3.8,133,6.7,403,20.3,68471,3.9,212010,452,405,52.7,47.3
290950007001,Jackson,7,1229,51,12.3,1.6,7.1,0,23.4,4.6,604,49.1,857,69.7,35381,33.6,71468,193,172,52.9,47.1
291650303053,Platte,303.05,1719,92.4,1.9,0.6,1.3,0.2,0.8,2.7,75,4.4,188,10.9,89881,6,174854,574,62,90.3,9.7
290950129064,Jackson,129.06,754,35.3,56.8,0.5,0.5,0.1,2.5,4.2,36,4.8,500,66.3,49306,13.8,111557,242,41,85.5,14.5
290470209021,Clay,209.02,1376,86.9,4.7,0.5,1.5,0.4,2.5,3.6,113,8.2,253,18.4,59744,5.2,144410,407,126,76.4,23.6
290950060002,Jackson,60,925,3.9,91.7,0.5,0,0,0.5,3.4,35,3.8,900,97.3,26983,44.2,55636,245,176,58.2,41.8
290470209022,Clay,209.02,993,89.7,2.1,0.4,1.1,0.1,2,4.5,121,12.2,181,18.2,56371,5.2,117965,330,37,89.9,10.1
291650302053,Platte,302.05,2086,79.7,12.3,1.4,1.2,0.3,1.2,3.9,160,7.7,530,25.4,60000,7.1,214177,411,464,47,53
290950136081,Jackson,136.08,1013,94.1,2.5,0.3,0.3,0.1,1.1,1.7,35,3.5,81,8,62690,11.5,137868,270,254,51.5,48.5
290470211014,Clay,211.01,659,92.9,2,0.6,2.3,0,0.9,1.4,22,3.3,63,9.6,33068,10.7,103333,244,47,83.8,16.2
290470221002,Clay,221,292,66.1,21.6,1,1.7,0,6.2,3.4,29,9.9,108,37,28849,6.6,0,3,196,1.5,98.5
290950077002,Jackson,77,971,2,94.2,0.4,0,0,0.7,2.7,22,2.3,962,99.1,21111,32.2,55625,221,200,52.5,47.5
290950106001,Jackson,106,891,78.9,13.9,0.3,1.1,0,3.7,2,66,7.4,216,24.2,56786,6.1,116216,327,36,90.1,9.9
290950174001,Jackson,174,989,47.2,35.7,0.4,8.1,0.8,3.1,4.7,48,4.9,530,53.6,42000,16.5,167391,106,287,27,73
290370603022,Cass,603.02,1860,92.8,2.7,0.4,0.6,0,0.4,3.2,42,2.3,158,8.5,41587,2.4,116349,479,299,61.6,38.4
290470212043,Clay,212.04,1758,69.8,15.9,0.5,1.9,0.3,5.5,6.2,194,11,590,33.6,24984,18.6,169196,84,759,10,90
290950125023,Jackson,125.02,1524,72.6,19.3,0.4,1.8,0.4,1.8,3.7,85,5.6,457,30,52964,5.4,113611,487,150,76.5,23.5
290950151002,Jackson,151,2059,89.6,2.7,0.6,0.7,1.4,1.4,3.6,99,4.8,267,13,58971,11.7,93456,471,233,66.9,33.1
290950140022,Jackson,140.02,1073,96,0.2,0.7,0.6,0.1,0.4,2.1,17,1.6,49,4.6,62885,0.7,140000,349,59,85.5,14.5
290370606003,Cass,606,1422,95.1,0.7,0.1,0.4,0.1,1.8,1.8,81,5.7,121,8.5,43864,6.1,105867,278,264,51.3,48.7
290950141054,Jackson,141.05,2006,89.2,4.1,0.9,0.7,0.2,1.5,3.3,131,6.5,303,15.1,70954,3.7,121011,522,177,74.7,25.3
290470213051,Clay,213.05,1877,86,5,0.5,2.1,0.3,2.6,3.6,157,8.4,358,19.1,80248,3.7,141538,542,98,84.7,15.3
290950071003,Jackson,71,997,91.3,2.5,0.4,2,0,0.9,2.9,54,5.4,121,12.1,54058,23.4,169672,323,289,52.8,47.2
291650304011,Platte,304.01,1074,90.6,4.3,0.3,1.5,0,0.9,2.4,52,4.8,138,12.8,97039,1.9,214076,338,42,88.9,11.1
290950177002,Jackson,177,3338,91.4,2.7,0.6,1.5,0.8,1.1,1.9,186,5.6,416,12.5,68417,6.3,124074,1039,85,92.4,7.6
290950127011,Jackson,127.01,1400,76.2,18.3,0.8,1.6,0,1.1,2.1,50,3.6,365,26.1,49130,6.2,124332,449,153,74.6,25.4
290950122001,Jackson,122,1411,88.2,3.3,0.6,0.4,1.6,2.7,3.2,104,7.4,222,15.7,42659,9.2,99138,389,164,70.3,29.7
290470213102,Clay,213.1,3836,90.7,3.6,0.2,2,0.1,1.4,2.1,206,5.4,492,12.8,93862,2.5,206981,1277,65,95.2,4.8
291650305005,Platte,305,638,89.8,3.8,0,0.9,0,2.4,3.1,29,4.5,79,12.4,65956,8.6,136782,155,116,57.2,42.8
290950149051,Jackson,149.05,4019,93.2,2.8,0.2,1.4,0.1,0.6,1.7,136,3.4,379,9.4,104745,4.7,212112,1328,44,96.8,3.2
290470211011,Clay,211.01,711,83.7,5.6,0.6,1,0.6,5.5,3.1,79,11.1,152,21.4,38258,10.7,128671,214,72,74.8,25.2
290470202022,Clay,202.02,875,93.7,1.3,0.3,3.4,0,0.5,0.8,42,4.8,91,10.4,63659,2.4,169318,329,76,81.2,18.8
290470206022,Clay,206.02,654,83.3,11.3,0.8,1.4,0,1.1,2.1,45,6.9,142,21.7,27750,11.2,118018,161,128,55.7,44.3
290470212052,Clay,212.05,2572,86.9,4.7,0.3,4,0.1,1.4,2.5,148,5.8,420,16.3,85227,3.9,248636,681,290,70.1,29.9
290950160001,Jackson,160,935,21.4,57.6,0.2,1.9,0,14,4.8,213,22.8,799,85.5,17652,50.9,54615,79,260,23.3,76.7
290470206025,Clay,206.02,811,44.9,41.6,0.1,2.8,1.2,2.8,6.5,72,8.9,489,60.3,22647,11.2,0,0,272,0,100
290950178004,Jackson,178,1008,31.4,60.2,0.5,1,0,1.9,5,50,5,714,70.8,12708,36.4,175000,54,538,9.1,90.9
290950055001,Jackson,55,886,3.5,91.8,0.5,0.1,0.1,0.6,3.5,15,1.7,860,97.1,11802,55,33894,165,181,47.7,52.3
290950128041,Jackson,128.04,1337,35.3,56.8,1.3,1.3,0.1,0.7,4.3,50,3.7,887,66.3,26968,14.7,95663,234,317,42.5,57.5
290470210032,Clay,210.03,1778,86.1,7.9,0.2,1.6,0.1,1.4,2.8,87,4.9,303,17,53104,7.9,151579,469,426,52.4,47.6
290470218032,Clay,218.03,1815,90.9,4.5,0.1,0.9,0,1.7,2,109,6,238,13.1,95427,1.7,177778,551,31,94.7,5.3
290950119002,Jackson,119,685,84.7,5.4,1.2,1.2,1,4.8,1.8,95,13.9,155,22.6,41316,14.9,68750,212,78,73.1,26.9
290370606002,Cass,606,955,94.9,1,0.8,0.8,0.1,0.5,1.8,36,3.8,76,8,45966,6.1,103271,252,112,69.2,30.8
290950056012,Jackson,56.01,883,5.7,86.4,0.3,0,0,1.9,5.7,41,4.6,833,94.3,25486,39.1,77632,155,159,49.4,50.6
290470212064,Clay,212.06,1318,91.7,3.7,0.4,1.5,0,1.4,1.2,69,5.2,151,11.5,108621,2.2,189651,439,21,95.4,4.6
290950073002,Jackson,73,1367,79.1,5.6,0.3,9.9,0.1,2,2.9,48,3.5,311,22.8,29952,15.1,569853,77,905,7.8,92.2
290470212063,Clay,212.06,798,84.7,7.1,1.4,1.8,0.8,2.1,2.1,70,8.8,161,20.2,69828,2.2,141736,333,22,93.8,6.2
290470206044,Clay,206.04,1171,82.7,6.1,1,1.4,0,4.2,4.7,139,11.9,272,23.2,40333,11,107414,310,170,64.6,35.4
290950117003,Jackson,117,758,90.1,3.6,0.1,0.4,1.7,1.6,2.5,42,5.5,97,12.8,32841,17.7,78099,168,138,54.9,45.1
290950112002,Jackson,112,962,89.8,2.9,0.4,0.5,0,1.8,4.6,54,5.6,116,12.1,56944,13.9,96618,327,48,87.2,12.8
290950114011,Jackson,114.01,1453,89.1,2.3,0.6,1.9,0.1,3.2,2.8,96,6.6,184,12.7,45222,14.7,110147,473,109,81.3,18.7
290470221005,Clay,221,814,72,12.9,1.7,3.4,0,4.1,5.9,96,11.8,267,32.8,26923,6.6,151471,112,329,25.4,74.6
290950148063,Jackson,148.06,912,84.9,4.2,0.2,4.2,0,2.2,4.4,33,3.6,151,16.6,110250,1.1,156731,291,17,94.5,5.5
291650303081,Platte,303.08,2908,80.2,8.6,0.6,5.4,0.1,2.6,2.6,255,8.8,735,25.3,51358,5.8,208951,397,1136,25.9,74.1
290950116004,Jackson,116,680,91,3.8,0.4,0,1.5,0.7,2.5,15,2.2,70,10.3,18448,21.6,161047,151,211,41.7,58.3
290950166002,Jackson,166,681,4,92.4,0.3,0,0,2.5,0.9,28,4.1,658,96.6,13426,50.2,34936,120,134,47.2,52.8
290470216003,Clay,216,3930,89.8,4.1,0.6,1.4,0.2,0.8,3,173,4.4,522,13.3,64315,9.3,177404,972,261,78.8,21.2
290950146042,Jackson,146.04,2887,82,7.8,0.6,1.7,0.5,3.1,4.4,231,8,626,21.7,36429,13.9,129511,463,981,32.1,67.9
290950135042,Jackson,135.04,1715,84.7,9.9,0.3,1.6,0.3,0.8,2.3,53,3.1,289,16.9,81099,2.6,212185,438,290,60.2,39.8
290950153002,Jackson,153,845,57.5,3.9,0.8,0,0,33.1,4.6,720,85.2,760,89.9,49202,32.7,73571,189,90,67.7,32.3
290950079005,Jackson,79,777,6.3,88.7,0.8,0,0,1.3,3,21,2.7,735,94.6,25937,40.8,48214,144,155,48.2,51.8
290470212042,Clay,212.04,796,79.8,4,0.8,8.2,0,4.5,2.8,84,10.6,201,25.3,46490,18.6,20669,290,35,89.2,10.8
290950034002,Jackson,34,732,32,40.7,0.4,0.7,0,20.9,5.3,293,40,612,83.6,29545,48.5,54583,108,138,43.9,56.1
290950079002,Jackson,79,615,5,90.4,0.7,0,0,0,3.9,20,3.3,594,96.6,18889,40.8,87857,112,106,51.4,48.6
290950137041,Jackson,137.04,1805,91.9,3.9,0.5,0.4,0.2,1.1,2,58,3.2,183,10.1,70197,4.1,173643,605,168,78.3,21.7
290950138025,Jackson,138.02,2032,86.9,7.9,0.2,1.6,0.3,1,2,77,3.8,309,15.2,79931,3.6,184428,589,47,92.6,7.4
290370608002,Cass,608,2881,96.8,0.7,0.3,0.6,0.1,0.5,1,48,1.7,116,4,64731,8.3,180030,843,232,78.4,21.6
290950018001,Jackson,18,842,34.4,21.4,1.7,6.8,0.4,30.8,4.6,394,46.8,661,78.5,32442,26.5,59868,76,179,29.8,70.2
291650302081,Platte,302.08,2470,93.4,2,0.5,1.5,0,0.9,1.6,88,3.6,223,9,100260,2.2,281092,908,56,94.2,5.8
290950073003,Jackson,73,835,86.3,2.9,0.4,8.6,0,0.4,1.4,34,4.1,145,17.4,69107,15.1,341358,243,351,40.9,59.1
290950153003,Jackson,153,879,72.7,4.6,1.3,0.6,0.1,15.9,4.9,395,44.9,464,52.8,26107,32.7,160897,177,270,39.6,60.4
290950193002,Jackson,193,2390,87.6,7.4,0.4,0.5,0.2,2,1.9,99,4.1,354,14.8,75943,10.9,142045,758,100,88.3,11.7
290950066002,Jackson,66,1002,80.1,10.3,0.2,2.5,0.1,4,2.8,67,6.7,216,21.6,40583,22.7,154225,241,262,47.9,52.1
290950023001,Jackson,23,897,30.3,42.5,1.2,0.9,0.3,19.5,5.2,292,32.6,719,80.2,18281,32.2,80526,102,242,29.7,70.3
290950119004,Jackson,119,827,81.5,5.9,0.5,1.6,0.7,7.9,1.9,98,11.9,182,22,41842,14.9,77407,285,83,77.4,22.6
291650303082,Platte,303.08,2115,85.6,6.2,0.4,4.7,0,0.9,2,128,6.1,394,18.6,89607,5.8,179469,686,49,93.3,6.7
290950128044,Jackson,128.04,1648,72.6,18.1,0.2,0.4,0.2,4.2,4.4,129,7.8,493,29.9,52890,14.7,97970,508,110,82.2,17.8
290950110005,Jackson,110,1163,83,4.1,0.6,1.6,1.2,6.4,3.1,124,10.7,233,20,22935,25,69792,233,280,45.4,54.6
290950072001,Jackson,72,673,95.1,1.2,0.3,1.6,0,1,0.7,13,1.9,46,6.8,133500,11.7,935345,285,6,97.9,2.1
290470218031,Clay,218.03,2857,89.5,4.1,0.2,2,0,1.4,2.8,133,4.7,382,13.4,88270,1.7,212391,871,138,86.3,13.7
291650306003,Platte,306,1083,97.9,0.1,0.3,0.7,0,0.2,0.8,13,1.2,34,3.1,66897,6.8,126301,334,90,78.8,21.2
290950141055,Jackson,141.05,1830,85.1,7.4,0.6,1.3,0.3,1.2,4,96,5.2,327,17.9,76667,3.7,189619,415,204,67,33
290950117004,Jackson,117,863,81.8,5.4,0.3,0.7,3,5.1,3.6,97,11.2,185,21.4,32500,17.7,74643,187,206,47.6,52.4
290950165002,Jackson,165,658,2.3,93.9,0.2,0,0.2,1.1,2.4,21,3.2,647,98.3,32500,14.6,38298,181,101,64.2,35.8
290950105003,Jackson,105,1254,49.6,38.7,0.4,0.3,0,4.9,6.1,147,11.7,686,54.7,37744,18.6,78953,305,150,67,33
290950171002,Jackson,171,662,4.8,92.4,0.2,0.2,0,0.9,1.5,15,2.3,632,95.5,28278,20.5,48707,150,184,44.9,55.1
290470202012,Clay,202.01,1650,70.8,9,0.5,13.8,0.4,2.5,2.9,129,7.8,539,32.7,41984,16,154847,199,690,22.4,77.6
290470218044,Clay,218.04,927,95.7,2,0.1,0,0,1.8,0.3,39,4.2,63,6.8,111699,2.4,223889,270,15,94.7,5.3
290950139021,Jackson,139.02,1282,95.4,1.6,0.7,0.4,0.1,0.3,1.5,16,1.2,71,5.5,75877,6.1,190257,368,101,78.5,21.5
290470223023,Clay,223.02,2637,93.5,2.9,0.4,1.5,0,0.2,1.5,74,2.8,231,8.8,85685,5.8,223908,785,136,85.2,14.8
290370614003,Cass,614,1280,95.9,0.2,0.5,0.6,0,1.1,1.6,40,3.1,78,6.1,49615,14.5,95094,304,226,57.4,42.6
290950120001,Jackson,120,1425,81.1,8.8,0.1,0.6,0.3,5.7,3.3,165,11.6,340,23.9,38814,9.9,121089,499,149,77,23
290950082001,Jackson,82,734,87.7,4.4,0.3,3.5,0,0.8,3.3,25,3.4,113,15.4,103125,7.9,195089,282,50,84.9,15.1
290950088004,Jackson,88,848,13.8,80.5,0.5,0.1,0,0.5,4.6,20,2.4,737,86.9,26568,30.3,69884,173,124,58.2,41.8
290950146011,Jackson,146.01,2125,87.8,3.6,0.6,0.5,0.6,4.6,2.3,179,8.4,340,16,62531,10,123652,685,263,72.3,27.7
290959892001,Jackson,9892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290950172001,Jackson,172,1743,31.4,61.4,0.5,1,0.1,1.2,4.4,54,3.1,1209,69.4,46000,19.5,103348,422,293,59,41
290950132101,Jackson,132.1,1107,20.2,73,0.1,0.1,0,2,4.6,37,3.3,895,80.8,25000,19,102841,201,265,43.1,56.9
290470206043,Clay,206.04,722,85.6,4.2,1.5,0.6,1.2,4.2,2.8,76,10.5,152,21.1,52766,11,105405,221,59,78.9,21.1
290950077001,Jackson,77,653,4.1,91.9,0,0.2,0,0.9,2.9,19,2.9,634,97.1,27500,32.2,49292,118,160,42.4,57.6
290950111002,Jackson,111,863,91.1,1.7,0.2,0.8,0.3,3.6,2.2,66,7.6,107,12.4,39408,15.9,71850,250,140,64.1,35.9
290470210011,Clay,210.01,1929,73.8,9.5,0.4,2.1,0.3,8.8,5.1,311,16.1,597,30.9,28133,22.5,127068,269,664,28.8,71.2
290950164001,Jackson,164,551,20.3,65.7,1.6,0.4,0,6.7,5.3,69,12.5,456,82.8,29375,39.2,39286,98,96,50.5,49.5
290950130031,Jackson,130.03,882,17.3,76.1,0.6,1,0,2.8,2.2,42,4.8,741,84,58958,19.9,90187,230,73,75.9,24.1
290470203004,Clay,203,920,87.4,2.6,0.2,3.2,1,3,2.6,59,6.4,141,15.3,62036,13.8,137559,354,29,92.4,7.6
290950180002,Jackson,180,1968,86.7,7.2,0.5,0.4,0.1,3.2,1.9,144,7.3,333,16.9,40724,16,136000,425,415,50.6,49.4
290470221003,Clay,221,1028,84.2,7.5,0.7,3.7,0,1.7,2.2,65,6.3,202,19.6,43968,6.6,223980,121,544,18.2,81.8
290950006003,Jackson,6,962,52.6,3.5,0.6,5.2,0,34.3,3.7,592,61.5,685,71.2,18728,43.8,38684,154,137,52.9,47.1
290950178001,Jackson,178,756,42.6,47.5,0.1,1.7,0,6,2.1,77,10.2,459,60.7,22984,36.4,172500,60,410,12.8,87.2
290470223012,Clay,223.01,1012,92.8,3.2,0.5,1.3,0,0.7,1.6,55,5.4,116,11.5,87946,8,178693,328,17,95.1,4.9
290950145012,Jackson,145.01,2131,79.3,13.4,0.1,1.8,0.4,2.2,2.8,149,7,525,24.6,58182,7.7,150858,633,412,60.6,39.4
290950168001,Jackson,168,613,88.1,2.1,0.8,1.8,0.3,3.6,3.3,107,17.5,146,23.8,34741,24.5,167763,149,172,46.4,53.6
290470216001,Clay,216,1261,95.4,1.3,0.3,0.7,0,0.8,1.4,46,3.6,88,7,67929,9.3,206250,416,55,88.3,11.7
