STFID Number,County,Census Tract,Population,% Whites,% African Americans,% Native Americans,% Asians,% Pacific Islanders,% Persons of Other Races,% Persons of More than One Race,Hispanics of Any Race,% Hispanics of Any Race,Minority Persons,% Minority Persons,Median Household Income,% Persons Below Poverty Level,Median Home Value,Owner-Occupied Units,Renter-Occupied Units,% Owner-Occupied Units,% Renter-Occupied Units
290950080002,Jackson,80,937,3.8,91.6,0.2,0,0,1.4,3,23,2.5,902,96.3,20833,26.5,66957,167,197,45.9,54.1
291650307001,Platte,307,741,97.3,0.7,0,0.4,0,0.3,1.3,25,3.4,41,5.5,57308,7,147143,189,113,62.6,37.4
290950009004,Jackson,9,822,44.3,26.3,1,2.3,0,21.7,4.5,350,42.6,602,73.2,14556,33.3,62083,72,244,22.8,77.2
290950086005,Jackson,86,814,93,2.7,0.4,1.4,0,0.5,2.1,37,4.5,80,9.8,65515,6.2,229297,341,53,86.5,13.5
291650306006,Platte,306,1931,96.4,0.6,0.5,0.5,0,0.8,1.1,51,2.6,101,5.2,77911,6.8,265057,657,58,91.9,8.1
290950134161,Jackson,134.16,2103,30.5,62.1,0.7,1.3,0,2.7,2.7,120,5.7,1502,71.4,58831,6.3,120419,618,154,80.1,19.9
290470209013,Clay,209.01,567,88.7,4.1,0.5,1.2,0.2,2.1,3.2,63,11.1,107,18.9,62778,6.7,107090,206,60,77.4,22.6
290959891001,Jackson,9891,13,84.6,7.7,0,0,0,0,7.7,1,7.7,2,15.4,0,0,0,2,3,40,60
290950044002,Jackson,44,587,76.3,11.2,0,8.7,0,1,2.7,35,6,165,28.1,64432,17,304839,128,264,32.7,67.3
290950084002,Jackson,84,745,95.6,1.1,0.3,1.3,0,0,1.7,17,2.3,49,6.6,161364,0.7,381159,272,9,96.8,3.2
290950101051,Jackson,101.05,1650,78.5,16.4,0.5,1.5,0,0.9,2.1,55,3.3,388,23.5,41326,5.7,157246,350,611,36.4,63.6
290950105004,Jackson,105,690,34.8,58.1,0,0.3,0,1.9,4.9,59,8.6,493,71.4,33571,18.6,66563,175,72,70.9,29.1
290950164002,Jackson,164,1322,30.2,53.8,0.6,0.2,0,10.3,4.9,322,24.4,1093,82.7,19292,39.2,64444,183,295,38.3,61.7
290950020002,Jackson,20,1357,43.8,5.4,1.1,2.9,0,40.5,6.3,821,60.5,963,71,25187,40.2,40865,236,182,56.5,43.5
290370610012,Cass,610.01,1707,94.7,2.3,0.5,0.4,0.1,0.2,1.9,48,2.8,131,7.7,74423,4.1,228478,572,38,93.8,6.2
290950095001,Jackson,95,865,33.6,60.6,1.6,0.1,0,2.2,1.8,42,4.9,594,68.7,29688,33.7,56593,174,167,51,49
290950169003,Jackson,169,826,2.2,94.1,0.2,0.1,0,1.7,1.7,20,2.4,808,97.8,26111,27.9,43199,186,158,54.1,45.9
290950142041,Jackson,142.04,1976,91.2,5.6,0.1,1.2,0.2,0.1,1.6,29,1.5,186,9.4,125841,10.5,351147,762,23,97.1,2.9
290950139163,Jackson,139.16,650,92.5,3.4,0.2,1.1,0.2,0.9,1.8,8,1.2,55,8.5,137500,2.9,380952,199,10,95.2,4.8
291650303061,Platte,303.06,1661,94.3,2.7,0.4,0.8,0,0.1,1.8,36,2.2,117,7,116304,3,216379,497,24,95.4,4.6
290950072002,Jackson,72,1219,93,1.8,0.2,2.1,0,1,1.8,57,4.7,128,10.5,64575,11.7,223182,419,264,61.3,38.7
290950115003,Jackson,115,1196,88,4,0.4,0.3,0.6,3.8,2.9,92,7.7,179,15,20287,29.5,84043,161,274,37,63
290950090002,Jackson,90,622,5.9,89.5,0.8,0,0,1,2.7,25,4,593,95.3,40300,14.6,82644,122,114,51.7,48.3
290950141014,Jackson,141.01,1021,89.6,3.7,0.8,0.7,0,2.2,3,64,6.3,129,12.6,34091,13.9,101327,258,258,50,50
290470206021,Clay,206.02,692,85.4,4.9,0.6,3.6,0,1,4.5,42,6.1,130,18.8,50096,11.2,110526,205,82,71.4,28.6
290950134071,Jackson,134.07,995,90.7,4.8,0.1,2.2,0,0.3,1.9,21,2.1,110,11.1,108889,7.4,236229,370,7,98.1,1.9
291650301033,Platte,301.03,1559,88.5,5.7,0.3,3.3,0.4,0.3,1.5,55,3.5,226,14.5,53780,8.4,155995,471,312,60.2,39.8
290950139011,Jackson,139.01,2209,96.6,1,0.3,0.6,0.1,0.3,1.2,39,1.8,101,4.6,81771,2.3,313576,802,122,86.8,13.2
291650307003,Platte,307,1890,97.4,0.3,0.2,0.2,0.2,0.5,1.3,29,1.5,67,3.5,77949,7,216016,620,114,84.5,15.5
290950117002,Jackson,117,843,87.8,4,0.7,0.8,1.3,1.5,3.8,47,5.6,124,14.7,44420,17.7,73548,184,154,54.4,45.6
290950169001,Jackson,169,822,16.2,78.6,0.2,0,0.5,1.2,3.3,44,5.4,706,85.9,35786,27.9,76250,132,203,39.4,60.6
290950019002,Jackson,19,554,35,39.5,0.5,0.7,0.4,19.9,4,176,31.8,411,74.2,8155,43.8,60161,52,249,17.3,82.7
290950134085,Jackson,134.08,853,75.6,18.4,1.3,0.8,0.1,1.1,2.7,32,3.8,223,26.1,39254,8.5,117969,390,57,87.2,12.8
290950140021,Jackson,140.02,610,96.2,0,2.1,0,0.3,1,0.3,22,3.6,32,5.2,80702,0.7,225000,214,29,88.1,11.9
290950019004,Jackson,19,871,45.2,7.2,2.3,7.2,0,33.3,4.7,488,56,650,74.6,33654,43.8,37500,135,128,51.3,48.7
290950144001,Jackson,144,1409,45.9,48,0.5,1.9,0.1,0.6,3,34,2.4,776,55.1,47807,6.5,177083,325,282,53.5,46.5
290370610011,Cass,610.01,2884,95.1,1.2,0.5,0.9,0,0.2,2,67,2.3,189,6.6,74139,4.1,203283,964,116,89.3,10.7
290950173001,Jackson,173,675,90.8,5.6,0.6,1.2,0,0.4,1.3,14,2.1,74,11,73125,7.9,174648,269,12,95.7,4.3
290470209011,Clay,209.01,1603,87.1,5.4,0.2,3.2,0,0.9,3.2,60,3.7,240,15,105326,6.7,276613,554,11,98.1,1.9
291650302091,Platte,302.09,2439,77.5,9.7,0.7,2.9,1.6,3.7,4,220,9,654,26.8,53769,6.1,126351,585,366,61.5,38.5
290950043002,Jackson,43,1078,68,21.3,1,3.6,0,2.5,3.5,91,8.4,388,36,47187,35,221023,189,366,34.1,65.9
290950082003,Jackson,82,662,85.2,6.8,0.6,2.9,0,1.7,2.9,32,4.8,116,17.5,39375,7.9,152835,256,88,74.4,25.6
290950177003,Jackson,177,1659,90.5,3.9,0.4,0.6,0.8,1,2.8,72,4.3,206,12.4,68438,6.3,141279,512,83,86.1,13.9
291650302073,Platte,302.07,1340,86,6.6,0.4,3.7,0.6,0.3,2.3,32,2.4,212,15.8,62920,7.5,250000,399,167,70.5,29.5
290950021003,Jackson,21,1833,49.4,10.7,0.4,3.2,0.3,32.7,3.3,1139,62.1,1424,77.7,25154,33.3,42457,296,235,55.7,44.3
290950065002,Jackson,65,803,73.6,15.7,0.7,1.6,0.1,3.6,4.6,71,8.8,247,30.8,33021,16.1,128074,195,200,49.4,50.6
290950128043,Jackson,128.04,970,55.6,37,0.2,1.1,0,2.7,3.4,63,6.5,465,47.9,41860,14.7,110791,290,56,83.8,16.2
291650302072,Platte,302.07,914,95.6,0,0,1.4,0,0.8,2.2,36,3.9,59,6.5,66842,7.5,201103,384,28,93.2,6.8
291650300015,Platte,300.01,1499,78.8,11.9,0.3,5.6,0,1.9,1.5,52,3.5,337,22.5,44611,10.5,202128,236,531,30.8,69.2
290470218042,Clay,218.04,1163,96.2,0.8,0.3,0.7,0,0.2,1.9,32,2.8,64,5.5,76653,2.4,195667,364,57,86.5,13.5
290950086001,Jackson,86,852,75.8,19.7,0.5,0.7,0,0.2,3.1,36,4.2,235,27.6,49318,6.2,183542,270,76,78,22
290950058012,Jackson,58.01,632,2.1,93.8,0,0.2,0,1.7,2.2,13,2.1,620,98.1,24333,30.2,60714,123,143,46.2,53.8
290950180001,Jackson,180,886,90.7,2.3,1.1,0.6,0.5,2,2.8,43,4.9,104,11.7,64652,16,120197,274,81,77.2,22.8
290950021002,Jackson,21,980,23.3,63.5,0.2,4.2,0,4,4.9,124,12.7,825,84.2,26212,33.3,51667,70,253,21.7,78.3
290470212062,Clay,212.06,2082,83,4.4,0.4,8.3,0.2,1.5,2.1,139,6.7,445,21.4,70571,2.2,165507,789,69,92,8
290950008004,Jackson,8,1258,38.2,15.6,0.6,4.7,0,36.1,4.9,724,57.6,1005,79.9,29087,30.3,49650,212,167,55.9,44.1
290950084003,Jackson,84,1251,93.6,2.4,0.3,2,0,0.5,1.2,33,2.6,104,8.3,136111,0.7,475926,453,19,96,4
290950139041,Jackson,139.04,2340,91,4.4,0.3,1.5,0,0.6,2.2,88,3.8,269,11.5,67989,1.8,153864,701,130,84.4,15.6
290950011002,Jackson,11,909,74.1,16.6,1.2,2.3,0.3,2,3.4,89,9.8,294,32.3,45848,17.4,169853,26,432,5.7,94.3
290950073001,Jackson,73,796,87.2,4.1,0.1,5,0.1,1.4,2,38,4.8,128,16.1,34149,15.1,186667,63,570,10,90
290950122003,Jackson,122,1384,84.8,6.4,0.8,1.8,0.1,4.6,1.6,115,8.3,256,18.5,32586,9.2,98071,441,160,73.4,26.6
290950112003,Jackson,112,1065,84.8,5.4,0.2,0.3,1,2,6.4,108,10.1,227,21.3,34277,13.9,73382,231,192,54.6,45.4
290470213061,Clay,213.06,1971,87.2,5.2,0.5,2.9,0.1,1.4,2.7,105,5.3,320,16.2,76351,2.4,137202,678,53,92.7,7.3
290470208011,Clay,208.01,1947,93.3,2,0.2,1.7,0.1,0.7,2,53,2.7,164,8.4,54028,10.6,140299,547,315,63.5,36.5
290950170002,Jackson,170,1173,57.3,31.2,0.3,0.9,1.4,6.8,2,149,12.7,560,47.7,28373,19.1,78889,261,302,46.4,53.6
291650306004,Platte,306,1068,97.5,0.2,0.4,0.4,0,0.6,1,29,2.7,47,4.4,42788,6.8,135000,339,112,75.2,24.8
291650303071,Platte,303.07,11,100,0,0,0,0,0,0,0,0,0,0,87500,0,0,1,3,25,75
290950007002,Jackson,7,809,45,14.2,1.1,9,0,25,5.7,359,44.4,576,71.2,31477,33.6,81356,172,77,69.1,30.9
291650304014,Platte,304.01,1231,95.3,1.5,0.8,0.7,0.1,0.4,1.1,11,0.9,63,5.1,68839,1.9,220370,380,53,87.8,12.2
290950114012,Jackson,114.01,1253,88.4,3.8,0.2,0.6,1.3,1.7,4.1,38,3,160,12.8,24328,14.7,93396,334,191,63.6,36.4
290370608003,Cass,608,1811,96.4,0.4,0.6,0.3,0,0.9,1.4,31,1.7,80,4.4,70875,8.3,217686,614,86,87.7,12.3
290370603013,Cass,603.01,2988,83.8,10.8,0.4,0.8,0.2,1.4,2.5,162,5.4,591,19.8,72375,3.8,178265,774,365,68,32
290950021004,Jackson,21,859,45.3,13.2,1.3,4.9,0,32.1,3.3,500,58.2,661,76.9,25292,33.3,85405,140,129,52,48
290950129031,Jackson,129.03,945,39.3,51.1,0,0.6,0,4.2,4.8,77,8.1,592,62.6,35577,19.1,89565,237,94,71.6,28.4
290950125021,Jackson,125.02,617,82.8,10.4,0.5,0.6,0,2.8,2.9,33,5.3,114,18.5,49583,5.4,103689,164,65,71.6,28.4
290470211033,Clay,211.03,796,90.6,2.3,1.8,1.6,1,1.3,1.5,41,5.2,109,13.7,53182,5.4,135849,299,36,89.3,10.7
290470205003,Clay,205,1185,81,8.3,1.4,1.9,0.9,2.7,3.9,102,8.6,264,22.3,40648,13,110473,317,173,64.7,35.3
290950084001,Jackson,84,755,96.2,0.3,1.1,1.1,0,0.4,1.1,10,1.3,36,4.8,213576,0.7,949597,242,2,99.2,0.8
290950136121,Jackson,136.12,2947,84.2,10.2,0.3,2.1,0,0.5,2.6,112,3.8,538,18.3,111029,2.8,273058,925,17,98.2,1.8
290950134084,Jackson,134.08,877,79.6,15.2,0.2,2.3,0.2,1.1,1.4,27,3.1,198,22.6,80533,8.5,265365,285,28,91.1,8.9
290470208014,Clay,208.01,607,85,4.6,1,2.1,0.3,1.6,5.3,39,6.4,114,18.8,70919,10.6,147378,188,94,66.7,33.3
291650303056,Platte,303.05,662,70.5,16.5,0.9,2.7,0.9,2,6.5,48,7.3,220,33.2,30500,6,0,2,285,0.7,99.3
290470212082,Clay,212.08,2601,69.9,19.8,0.8,2.1,0.7,2.8,3.9,223,8.6,890,34.2,32404,10.1,184677,142,1191,10.7,89.3
290470208013,Clay,208.01,709,95.9,1.1,0.1,0.4,0,1.7,0.7,38,5.4,55,7.8,45081,10.6,121905,211,118,64.1,35.9
290370610023,Cass,610.02,821,96,0.9,0.5,0.1,0,1,1.6,17,2.1,43,5.2,82692,6.1,211481,276,16,94.5,5.5
290470213073,Clay,213.07,1800,78.4,12.6,0.6,3.3,0,1.4,3.8,120,6.7,459,25.5,49053,5.9,172699,206,658,23.8,76.2
290950090005,Jackson,90,734,9,86.6,0,0.4,0,1.4,2.6,15,2,669,91.1,20000,14.6,85128,159,120,57,43
290950061003,Jackson,61,689,2.2,93.9,0.6,0,0,1.6,1.7,15,2.2,674,97.8,13343,43.2,49107,179,111,61.7,38.3
291650300014,Platte,300.01,813,79.5,14.1,0.5,0.4,1.1,1.5,3,47,5.8,198,24.4,48036,10.5,171543,189,144,56.8,43.2
290950133093,Jackson,133.09,2239,22.6,70.3,0.2,0.8,0,1.9,4.2,85,3.8,1751,78.2,30000,5.2,74740,296,578,33.9,66.1
290470202023,Clay,202.02,978,79.2,6.9,0.7,10.2,0,0.3,2.7,42,4.3,232,23.7,72375,2.4,305000,329,142,69.9,30.1
290370603012,Cass,603.01,2932,90,5.8,0.7,0.7,0,0.6,2.2,86,2.9,359,12.2,74309,3.8,181263,894,163,84.6,15.4
290950142031,Jackson,142.03,2554,86.7,6.4,0.2,3.6,0.1,0.7,2.2,84,3.3,402,15.7,107749,3.5,223536,902,30,96.8,3.2
290470221001,Clay,221,580,79.5,11.6,0.3,2.8,0,3.8,2.1,58,10,147,25.3,38000,6.6,162500,98,227,30.2,69.8
290950067001,Jackson,67,865,76.5,13.9,0.6,2.5,0.1,3.6,2.8,56,6.5,224,25.9,25109,33,121739,90,435,17.1,82.9
290470211031,Clay,211.03,872,87.4,4.8,0.6,1.9,0.3,2.4,2.5,67,7.7,154,17.7,42031,5.4,154545,259,145,64.1,35.9
291650303062,Platte,303.06,767,95.8,0.3,0.8,1.7,0.1,0.8,0.5,26,3.4,50,6.5,94688,3,282143,258,17,93.8,6.2
290470206045,Clay,206.04,894,82.9,5,0.4,2.9,0.7,4.3,3.8,102,11.4,203,22.7,38822,11,97101,246,140,63.7,36.3
290950009001,Jackson,9,659,58.9,11.8,0,2.9,0,17.6,8.8,211,32,329,49.9,55833,33.3,163839,146,110,57,43
290950175001,Jackson,175,658,61.6,31.9,0.6,2.1,0,1.1,2.7,37,5.6,283,43,52333,13.6,85586,180,74,70.9,29.1
291650305006,Platte,305,622,92.4,2.3,0.8,0.2,0.2,1.6,2.6,32,5.1,62,10,55769,8.6,168750,165,83,66.5,33.5
290950088001,Jackson,88,627,2.2,94.9,0.2,0.2,0,0.2,2.4,7,1.1,614,97.9,25375,30.3,60250,184,74,71.3,28.7
290950105001,Jackson,105,738,54.6,35.5,0.5,0.7,0.1,2.3,6.2,71,9.6,368,49.9,48400,18.6,102778,190,150,55.9,44.1
290370610022,Cass,610.02,1155,96,1.7,0.4,0.2,0,0,1.6,25,2.2,71,6.1,90278,6.1,189464,387,27,93.5,6.5
290950095003,Jackson,95,1013,24.2,70.7,0.1,0.2,0.1,1.1,3.7,34,3.4,781,77.1,40833,33.7,80130,212,159,57.1,42.9
290950177001,Jackson,177,104,97.1,2.9,0,0,0,0,0,0,0,3,2.9,101705,6.3,275000,25,13,65.8,34.2
290950074004,Jackson,74,879,92.5,0.6,0.2,3.5,0.1,0.6,2.5,28,3.2,87,9.9,90365,18.2,309091,316,34,90.3,9.7
291650303058,Platte,303.05,740,95.3,1.8,0.3,0.7,0,0.9,1.1,30,4.1,58,7.8,54338,6,170573,254,27,90.4,9.6
290470213031,Clay,213.03,1552,93.4,1.9,1,1.2,0,0.8,1.7,70,4.5,156,10.1,74268,13.4,203571,505,48,91.3,8.7
290950124001,Jackson,124,1533,79.8,9.8,0.7,1,1.2,4.8,2.7,159,10.4,379,24.7,50704,5.5,114474,444,267,62.4,37.6
291650302011,Platte,302.01,1817,88.4,4.9,0.2,3.5,0.1,1.2,1.8,55,3,246,13.5,100744,7.5,405462,581,100,85.3,14.7
290370604001,Cass,604,1577,97.6,0.4,0.1,0.2,0.3,0.4,1,22,1.4,49,3.1,102320,1,348951,591,34,94.6,5.4
290950074003,Jackson,74,770,83,2.7,0.1,11.3,0,0.6,2.2,21,2.7,142,18.4,62024,18.2,548333,191,299,39,61
290950134081,Jackson,134.08,1731,76.2,16,0.5,3.8,0,1.7,1.8,86,5,465,26.9,49687,8.5,169063,237,507,31.9,68.1
290950091004,Jackson,91,714,82.4,9.9,1.1,1.7,0,1.3,3.6,31,4.3,145,20.3,44861,5.2,156845,252,100,71.6,28.4
291650300013,Platte,300.01,1478,90.5,3.5,0.4,1.9,0.1,1.2,2.5,79,5.3,191,12.9,100000,10.5,192286,511,51,90.9,9.1
290370607001,Cass,607,1362,96.8,0.1,1.1,0.3,0,0.4,1.2,26,1.9,64,4.7,37558,7.6,110309,346,202,63.1,36.9
290950172003,Jackson,172,578,26.1,67,0,1.7,0,1.2,4,22,3.8,438,75.8,25469,19.5,0,20,291,6.4,93.6
290950090001,Jackson,90,604,3.1,90.7,0.2,0.5,0,0,5.5,15,2.5,587,97.2,40862,14.6,82941,131,97,57.5,42.5
290470211015,Clay,211.01,827,77.8,5.1,1.3,1.2,3.9,4.7,6,84,10.2,209,25.3,37961,10.7,119203,213,127,62.6,37.4
290950126001,Jackson,126,1135,62.2,28.7,0.4,0.6,0,3.4,4.7,85,7.5,468,41.2,53972,11.2,114111,331,147,69.2,30.8
290950061001,Jackson,61,1254,2.6,90.7,0.6,0,0.1,2.3,3.7,61,4.9,1231,98.2,35052,43.2,48711,281,181,60.8,39.2
290950128032,Jackson,128.03,1394,74.5,18.7,0.3,1.1,0.1,0.7,4.6,64,4.6,393,28.2,54949,4.8,86000,410,214,65.7,34.3
290950134082,Jackson,134.08,1365,55.5,29.2,0.5,4.3,0.2,7.3,2.9,208,15.2,700,51.3,41087,8.5,132983,209,285,42.3,57.7
290470210031,Clay,210.03,2068,91.1,3.3,0.6,2.3,0,0.4,2.2,83,4,249,12,87312,7.9,176890,764,43,94.7,5.3
290950146032,Jackson,146.03,2230,89.5,4,0.3,1.7,0.8,1.3,2.5,133,6,330,14.8,62368,10.2,129875,811,86,90.4,9.6
290470213062,Clay,213.06,3092,90.5,3.8,0.6,1.7,0,0.6,2.7,171,5.5,420,13.6,63052,2.4,179471,712,502,58.6,41.4
290470210012,Clay,210.01,1633,90.3,0.9,0.9,0.9,0.6,3.4,3.2,122,7.5,218,13.3,59895,22.5,130020,596,90,86.9,13.1
290950102042,Jackson,102.04,1430,78,13.4,0.4,2.7,1.2,1.9,2.4,76,5.3,362,25.3,51464,21.5,95900,429,141,75.3,24.7
290950100023,Jackson,100.02,932,39.3,51.8,0,4.3,0,1.6,3,44,4.7,584,62.7,46724,17.7,0,5,579,0.9,99.1
290470218062,Clay,218.06,1690,96.3,1.1,0.6,0.2,0.1,0,1.7,39,2.3,93,5.5,80566,1.6,211574,589,35,94.4,5.6
291650302112,Platte,302.11,2108,65.7,22.5,0.6,3.3,0.2,2.8,4.9,173,8.2,816,38.7,46572,10,126866,150,856,14.9,85.1
290470212071,Clay,212.07,1808,74.7,15.9,0.4,1.4,0.4,2.5,4.6,142,7.9,534,29.5,54030,5.5,138701,407,302,57.4,42.6
290950122002,Jackson,122,1735,92.1,2.3,0.6,1,0,1.8,2.1,67,3.9,168,9.7,52252,9.2,98973,612,107,85.1,14.9
290950145022,Jackson,145.02,2220,89.6,5.2,0.3,1.7,0.1,0.9,2.1,88,4,285,12.8,45298,6,157317,696,311,69.1,30.9
290950133131,Jackson,133.13,1533,60.2,30.7,0.4,0.8,0,2.9,5,93,6.1,631,41.2,64200,9.6,112682,503,64,88.7,11.3
290950145011,Jackson,145.01,1818,92.1,2.7,0.2,0.8,0.6,2.1,1.5,87,4.8,189,10.4,54500,7.7,134657,628,177,78,22
290370607003,Cass,607,1471,96.2,0.9,0.3,0.1,0.1,0.5,1.9,17,1.2,68,4.6,71453,7.6,163347,475,61,88.6,11.4
290950139042,Jackson,139.04,2023,84.2,10.4,0,2.3,0,0.8,2.2,79,3.9,374,18.5,94676,1.8,178288,653,19,97.2,2.8
290950091003,Jackson,91,1220,87.4,5.7,0.6,1.1,0,2.2,3,67,5.5,187,15.3,73836,5.2,166192,477,139,77.4,22.6
290950170001,Jackson,170,1152,77.8,11.6,0.7,1.2,0.5,4.9,3.3,164,14.2,353,30.6,42727,19.1,85890,330,128,72.1,27.9
290470219001,Clay,219,3780,95.3,0.5,0.7,1.1,0,0.6,1.8,104,2.8,249,6.6,88389,1.5,183982,1238,54,95.8,4.2
290950143002,Jackson,143,2206,63.1,30,0.6,1.6,0,1.1,3.5,102,4.6,860,39,29158,6.9,166739,433,539,44.5,55.5
290950149052,Jackson,149.05,825,92.6,3.2,0.6,1.1,0,1.3,1.2,42,5.1,87,10.5,58043,4.7,124772,225,36,86.2,13.8
290470214042,Clay,214.04,1992,88.4,5.7,0.7,0.3,0.2,1.2,3.6,95,4.8,293,14.7,46098,5.3,148473,466,341,57.7,42.3
290950140061,Jackson,140.06,6096,93.7,1.7,0.6,0.8,0.1,1.1,2,275,4.5,541,8.9,72669,0.7,166423,1727,426,80.2,19.8
290950075001,Jackson,75,822,6.7,89.8,0.2,0.4,0,1,1.9,12,1.5,769,93.6,26378,39,67500,166,151,52.4,47.6
290950069001,Jackson,69,420,86.7,4,0,7.4,0,1,1,15,3.6,66,15.7,43661,23.8,235870,145,160,47.5,52.5
290950133133,Jackson,133.13,1595,52.4,34.6,0.6,0.7,0,7.2,4.6,205,12.9,831,52.1,52727,9.6,95780,437,150,74.4,25.6
290470209014,Clay,209.01,1384,88,2.8,1.2,3.3,0.4,2.2,2.1,84,6.1,208,15,63616,6.7,141732,500,88,85,15
290950114051,Jackson,114.05,2690,67.6,17.1,1.1,0.3,2.1,3.2,8.6,271,10.1,965,35.9,12972,53.3,112500,255,808,24,76
290470205002,Clay,205,768,75.4,13.7,0.3,4.2,0.4,3.4,2.7,69,9,213,27.7,35464,13,22368,95,259,26.8,73.2
290470212084,Clay,212.08,780,77.3,14,0.9,2.8,0,2.2,2.8,53,6.8,210,26.9,101801,10.1,162832,180,101,64.1,35.9
290950132031,Jackson,132.03,966,33.6,57,0.5,0.4,0.3,3.9,4.1,64,6.6,655,67.8,49348,28.2,86703,185,142,56.6,43.4
290950006001,Jackson,6,1094,52.8,4.7,0.3,6.6,0,29.1,6.6,594,54.3,748,68.4,33150,43.8,64464,167,190,46.8,53.2
290470204002,Clay,204,1498,62.3,17.9,0.2,4.4,1.7,9.5,3.9,253,16.9,652,43.5,39881,7.9,118669,231,432,34.8,65.2
290950120002,Jackson,120,792,80.9,11.2,0.6,1.5,0.4,1.6,3.7,61,7.7,193,24.4,39719,9.9,87143,276,127,68.5,31.5
290950166001,Jackson,166,1090,5.1,89.5,0.1,0.2,0.1,1.8,3.1,60,5.5,1059,97.2,24022,50.2,50313,157,336,31.8,68.2
290950088002,Jackson,88,625,6.1,89.9,0,0.2,0,0.5,3.4,11,1.8,588,94.1,29130,30.3,85455,127,172,42.5,57.5
290950156001,Jackson,156,556,89,2.9,0.9,1.1,1.3,2.9,2,82,14.7,121,21.8,18333,44.6,16641,184,54,77.3,22.7
290470206042,Clay,206.04,682,88.9,4.3,0.9,1.3,0,2.1,2.6,49,7.2,108,15.8,43790,11,111146,264,31,89.5,10.5
290950149022,Jackson,149.02,744,95.6,0.4,0.1,0,0.3,0.9,2.7,26,3.5,49,6.6,35300,11.6,86087,203,108,65.3,34.7
290950100021,Jackson,100.02,1297,60,29.2,0.4,2.2,0,3.7,4.5,110,8.5,568,43.8,43333,17.7,146814,306,359,46,54
290470217013,Clay,217.01,1505,91.9,2.5,0.9,1.3,0,1.6,1.8,50,3.3,146,9.7,50091,8.3,132530,352,242,59.3,40.7
290950078021,Jackson,78.02,458,4.8,91.7,0.4,0.2,0,0.7,2.2,10,2.2,436,95.2,54500,26.1,61883,103,88,53.9,46.1
