,Population,Median Age,Census Tract,KCMO Portion or Not,% Minority Persons,% Persons 25 or Older with BA Degree or Higher,Median Household Income,% Persons Below Poverty Level,% Owner-Occupied Units,% Renter-Occupied Units
0,109,22.0,601.0,KCMO,11.9,60.2,33272.0,0.0,0.0,100.0
1,4695,34.5,202.01,KCMO,35.2,17.5,39198.0,15.7,43.5,56.5
2,3232,47.6,202.02,KCMO,17.5,58.3,81444.0,3.5,84.3,15.7
3,5308,34.6,203.0,KCMO,31.5,27.9,45763.0,16.2,53.1,46.9
4,2480,35.5,204.0,KCMO,35.8,16.4,43781.0,5.7,52.6,47.4
5,5086,34.6,205.0,KCMO,24.5,18.7,38413.0,23.1,59.3,40.7
6,4323,30.1,206.02,KCMO,30.3,19.1,42500.0,22.1,28.1,71.9
7,3630,34.1,206.03,KCMO,18.5,12.8,46804.0,18.3,70.1,29.9
8,4872,38.9,206.04,KCMO,29.0,20.9,47770.0,10.4,71.9,28.1
9,5465,39.5,209.01,KCMO,17.8,35.8,66250.0,4.4,79.3,20.7
11,2518,37.0,209.02,KCMO,22.7,17.7,57629.0,5.7,76.8,23.2
12,4991,30.0,212.04,KCMO,28.2,26.7,47278.0,21.3,57.1,42.9
13,6819,35.9,212.05,KCMO,20.9,38.6,79204.0,5.6,69.2,30.8
14,7321,43.2,212.06,KCMO,15.2,40.8,82215.0,2.2,93.5,6.5
15,3112,31.3,212.07,KCMO,25.4,38.7,58322.0,14.1,45.7,54.3
16,5854,30.4,212.08,KCMO,37.1,34.8,50430.0,10.4,42.4,57.6
17,3041,35.5,213.03,KCMO,7.8,45.3,90597.0,13.3,87.4,12.6
18,7542,35.3,213.05,KCMO,21.1,30.6,80559.0,4.7,89.7,10.3
19,7052,34.7,213.06,KCMO,14.5,36.4,61933.0,1.1,71.4,28.6
20,5829,33.3,213.07,KCMO,26.6,44.4,75822.0,10.4,59.3,40.7
21,4413,32.1,213.09,KCMO,9.9,59.1,129806.0,1.5,74.7,25.3
22,6852,31.2,213.1,KCMO,14.9,48.4,101513.0,3.7,100.0,0.0
23,5983,29.4,218.03,KCMO,10.5,42.3,91454.0,0.6,96.6,3.4
24,99,30.2,218.04,KCMO,0.0,100.0,137500.0,0.0,100.0,0.0
25,331,30.9,219.0,KCMO,9.0,47.2,78633.0,1.4,100.0,0.0
26,33,59.2,221.0,KCMO,7.1,0.0,14193.0,93.7,0.0,100.0
27,3798,32.3,222.0,KCMO,19.1,14.3,58391.0,7.9,89.5,10.5
28,1777,32.3,3.0,KCMO,63.8,21.4,23835.0,51.8,31.2,68.8
29,4090,29.8,6.0,KCMO,69.3,4.5,19460.0,50.9,54.7,45.3
30,3628,32.5,7.0,KCMO,72.0,11.1,29773.0,43.4,56.1,43.9
31,0,0.0,9808.02,KCMO,0.0,0.0,0.0,0.0,0.0,0.0
32,3694,33.4,8.0,KCMO,64.2,12.5,36149.0,18.8,59.7,40.3
33,3078,32.1,9.0,KCMO,57.5,23.4,29211.0,32.6,53.5,46.5
34,2972,31.0,10.0,KCMO,78.2,9.1,23977.0,32.0,33.4,66.6
35,1574,31.1,11.0,KCMO,33.4,48.7,27593.0,21.2,7.1,92.9
36,2205,33.1,18.0,KCMO,71.3,7.3,18811.0,41.0,41.1,58.9
37,3287,29.6,19.0,KCMO,79.8,4.1,24185.0,38.7,41.8,58.2
38,2347,28.5,20.0,KCMO,77.5,0.5,23241.0,44.0,49.5,50.5
39,3923,26.0,21.0,KCMO,73.9,6.7,26641.0,51.7,42.9,57.1
40,2819,31.0,22.0,KCMO,79.7,0.9,21389.0,40.7,44.9,55.1
41,2052,37.2,23.0,KCMO,89.3,14.0,31042.0,29.8,67.7,32.3
42,2647,33.6,34.0,KCMO,89.7,2.0,16993.0,45.8,40.7,59.3
43,1050,37.5,37.0,KCMO,97.6,10.9,19847.0,48.1,43.9,56.1
44,1777,31.5,38.0,KCMO,97.9,6.6,21806.0,44.9,44.2,55.8
45,2330,36.6,43.0,KCMO,46.1,40.1,29784.0,33.0,35.4,64.6
46,950,41.4,44.0,KCMO,25.5,71.9,57069.0,16.5,53.7,46.3
47,2686,38.6,46.0,KCMO,25.8,46.8,55481.0,17.7,51.6,48.4
48,1620,43.1,51.0,KCMO,45.7,39.3,35400.0,32.0,33.8,66.2
49,1232,42.0,52.0,KCMO,86.1,3.9,11929.0,53.5,34.3,65.7
50,1135,31.9,53.0,KCMO,78.3,21.7,28068.0,27.5,72.7,27.3
51,863,36.9,54.0,KCMO,98.3,2.5,15962.0,50.2,52.1,47.9
52,779,34.0,55.0,KCMO,97.2,1.7,16071.0,51.2,41.8,58.2
53,1935,29.3,56.01,KCMO,96.4,12.4,16455.0,39.4,35.5,64.5
54,1687,36.7,56.02,KCMO,99.6,10.7,26063.0,35.7,50.7,49.3
55,2282,38.5,57.0,KCMO,94.3,9.0,28375.0,24.0,54.9,45.1
56,1728,34.0,58.01,KCMO,98.1,9.6,20085.0,33.3,36.8,63.2
57,1292,42.8,60.0,KCMO,91.6,7.9,27051.0,43.5,68.4,31.6
58,2701,35.4,61.0,KCMO,92.7,9.3,26083.0,41.9,53.8,46.2
59,1527,34.7,63.0,KCMO,97.0,7.3,19594.0,39.6,26.3,73.7
60,1657,33.9,65.0,KCMO,30.8,49.3,40132.0,20.7,47.0,53.0
61,1640,36.8,66.0,KCMO,19.6,58.6,53214.0,16.0,42.9,57.1
62,1618,28.5,67.0,KCMO,45.1,36.3,21293.0,36.7,16.0,84.0
63,1152,36.7,69.0,KCMO,16.2,62.9,44531.0,16.0,30.0,70.0
64,2771,33.0,71.0,KCMO,19.7,66.9,45701.0,18.3,31.6,68.4
65,2130,36.3,72.0,KCMO,10.1,77.6,94500.0,9.7,77.1,22.9
66,2996,32.2,73.0,KCMO,17.2,73.5,44375.0,17.2,20.5,79.5
67,3730,29.3,74.0,KCMO,20.1,71.2,57958.0,21.3,56.8,43.2
68,2643,23.6,75.0,KCMO,48.6,27.4,34821.0,33.3,47.1,52.9
69,2437,30.5,76.0,KCMO,88.2,6.1,24872.0,39.3,49.1,50.9
70,1712,40.6,77.0,KCMO,98.7,6.5,19179.0,41.7,58.3,41.7
71,2250,43.3,78.02,KCMO,96.2,16.3,33448.0,15.2,52.5,47.5
72,3765,36.3,79.0,KCMO,94.9,4.3,31011.0,23.1,42.9,57.1
73,2856,37.2,80.0,KCMO,97.4,12.1,30711.0,31.0,47.2,52.8
74,2129,33.0,81.0,KCMO,84.0,16.3,41627.0,23.0,63.3,36.7
75,3077,36.2,82.0,KCMO,16.9,69.0,66034.0,9.5,85.2,14.8
76,2375,44.5,83.0,KCMO,4.8,72.1,115205.0,1.3,95.6,4.4
77,2877,41.8,84.0,KCMO,4.8,82.8,173090.0,0.0,96.1,3.9
78,3398,42.6,85.0,KCMO,5.3,84.1,123592.0,3.2,99.6,0.4
79,5244,40.2,86.0,KCMO,12.2,69.2,85697.0,3.8,84.3,15.7
80,2319,46.2,87.0,KCMO,83.2,22.8,29161.0,26.4,58.3,41.7
81,3221,40.2,88.0,KCMO,93.7,9.7,30295.0,26.1,56.3,43.7
82,1929,36.3,89.0,KCMO,98.8,12.6,25179.0,39.7,56.2,43.8
83,4849,36.6,90.0,KCMO,86.9,12.7,41299.0,16.4,67.5,32.5
84,3948,36.2,91.0,KCMO,17.7,57.0,64529.0,6.5,73.2,26.8
85,2795,36.1,92.0,KCMO,18.6,59.5,77048.0,7.8,72.6,27.4
86,2391,37.5,93.0,KCMO,9.6,49.4,59441.0,5.5,76.8,23.2
87,4534,39.7,94.0,KCMO,38.2,27.7,33852.0,23.1,52.1,47.9
88,2944,30.4,95.0,KCMO,65.6,7.6,26021.0,35.9,48.0,52.0
89,2219,21.6,96.0,KCMO,85.8,4.1,20000.0,51.6,33.3,66.7
90,1318,27.1,97.0,KCMO,75.1,18.1,22398.0,35.6,11.4,88.6
91,3477,39.2,98.0,KCMO,35.1,36.2,49717.0,7.3,64.4,35.6
92,2323,37.5,99.0,KCMO,29.5,40.2,58805.0,11.0,70.7,29.3
93,1865,55.8,100.01,KCMO,24.1,39.5,51530.0,4.7,52.0,48.0
94,3879,33.4,100.02,KCMO,52.3,33.3,37399.0,20.8,22.3,77.7
95,2621,34.0,101.03,KCMO,53.1,28.0,42092.0,10.9,61.2,38.8
96,3544,53.7,101.05,KCMO,20.8,55.7,56505.0,7.5,65.5,34.5
97,2116,27.5,102.01,KCMO,64.6,14.8,19410.0,47.8,22.9,77.1
98,4837,37.9,102.03,KCMO,44.1,28.0,62015.0,6.3,79.2,20.8
99,5321,31.2,102.04,KCMO,52.1,33.2,47500.0,27.2,43.5,56.5
100,4665,37.6,105.0,KCMO,63.5,15.6,32565.0,29.2,55.9,44.1
101,3047,42.9,106.0,KCMO,31.6,16.8,53320.0,7.8,80.2,19.8
102,3245,30.9,107.02,KCMO,55.5,22.1,33000.0,28.2,44.5,55.5
103,0,0.0,110.0,KCMO,0.0,0.0,0.0,0.0,0.0,0.0
104,0,0.0,119.0,KCMO,0.0,0.0,0.0,0.0,0.0,0.0
105,0,0.0,124.0,KCMO,0.0,0.0,0.0,0.0,0.0,0.0
106,388,60.7,128.02,KCMO,16.2,42.0,56615.0,4.6,100.0,0.0
107,3681,38.8,129.03,KCMO,68.9,16.2,38700.0,17.3,67.1,32.9
108,2465,40.6,129.04,KCMO,53.7,28.5,65575.0,9.6,89.9,10.1
109,4411,38.7,129.06,KCMO,65.8,16.2,45824.0,14.1,81.9,18.1
110,5581,30.8,130.03,KCMO,81.2,13.3,45629.0,24.8,56.3,43.7
111,2912,36.4,131.0,KCMO,74.4,22.4,34621.0,22.6,58.5,41.5
112,4230,26.5,132.03,KCMO,74.9,7.6,35028.0,34.1,53.7,46.3
113,2757,37.8,132.08,KCMO,83.4,11.3,29459.0,30.8,40.2,59.8
114,2598,31.0,132.1,KCMO,82.6,14.1,33750.0,18.8,51.6,48.4
115,0,0.0,134.01,KCMO,0.0,0.0,0.0,0.0,0.0,0.0
116,2413,29.7,134.05,KCMO,42.8,35.0,41979.0,39.3,52.1,47.9
117,2518,56.6,134.07,KCMO,12.0,55.2,69139.0,3.3,79.6,20.4
118,5649,41.9,134.08,KCMO,33.9,38.5,54189.0,7.1,59.5,40.5
119,121,45.8,135.04,KCMO,0.0,11.1,91158.0,0.0,100.0,0.0
120,0,0.0,136.12,KCMO,0.0,0.0,0.0,0.0,0.0,0.0
121,0,0.0,142.03,KCMO,0.0,0.0,32500.0,0.0,0.0,0.0
122,0,0.0,142.04,KCMO,0.0,0.0,0.0,0.0,0.0,0.0
123,5269,39.3,143.0,KCMO,26.8,24.0,49566.0,8.2,67.0,33.0
124,9,76.9,9883.0,KCMO,0.0,0.0,18750.0,0.0,100.0,0.0
125,2660,41.2,144.0,KCMO,39.5,32.6,58326.0,6.1,61.8,38.2
126,0,0.0,145.01,KCMO,0.0,0.0,0.0,0.0,0.0,0.0
127,0,0.0,145.02,KCMO,0.0,0.0,0.0,0.0,0.0,0.0
128,1944,32.1,152.0,KCMO,30.0,53.1,44077.0,12.8,20.2,79.8
129,3570,38.3,153.0,KCMO,84.9,16.1,25980.0,41.5,46.3,53.7
130,3432,24.9,154.0,KCMO,85.8,8.9,13920.0,68.6,12.3,87.7
131,890,33.3,155.0,KCMO,34.8,8.9,30554.0,46.2,57.9,42.1
132,3,82.5,156.0,KCMO,0.0,0.0,22500.0,0.0,100.0,0.0
133,2017,30.6,157.0,KCMO,19.9,63.8,47765.0,15.5,16.4,83.6
134,1407,31.9,158.0,KCMO,20.4,51.6,70120.0,8.0,24.9,75.1
135,1586,32.5,159.0,KCMO,49.7,28.3,47014.0,27.7,46.2,53.8
136,1611,35.1,160.0,KCMO,92.2,6.6,21712.0,49.3,40.6,59.4
137,1893,48.3,161.0,KCMO,97.8,11.1,27521.0,28.4,14.2,85.8
138,1117,46.6,162.0,KCMO,81.2,11.1,23457.0,32.1,35.1,64.9
139,2562,28.3,163.0,KCMO,68.4,4.6,28911.0,50.7,33.0,67.0
140,1969,29.5,164.0,KCMO,84.2,4.5,23013.0,40.2,33.7,66.3
141,1654,44.5,165.0,KCMO,97.3,12.7,29441.0,20.0,64.5,35.5
142,1646,41.5,166.0,KCMO,90.9,6.0,19296.0,34.9,39.6,60.4
143,2996,38.0,167.0,KCMO,28.1,40.0,30916.0,14.3,13.9,86.1
144,3660,31.5,168.0,KCMO,24.9,48.9,38448.0,23.1,25.5,74.5
145,1943,33.2,169.0,KCMO,97.5,7.9,21367.0,27.6,46.6,53.4
146,2000,48.0,170.0,KCMO,40.1,9.8,29414.0,28.6,50.4,49.6
147,4013,41.9,171.0,KCMO,96.0,14.6,32080.0,16.8,59.7,40.3
148,4265,34.1,172.0,KCMO,59.8,19.1,41671.0,13.0,45.5,54.5
149,3519,43.2,173.0,KCMO,21.3,52.5,62685.0,5.9,78.1,21.9
150,2474,30.2,174.0,KCMO,72.9,19.3,28227.0,28.7,11.6,88.4
151,1744,47.0,175.0,KCMO,49.1,24.5,45089.0,22.5,76.3,23.7
152,5235,42.7,176.0,KCMO,37.1,29.6,72632.0,5.5,90.1,9.9
153,2485,32.2,178.0,KCMO,57.1,33.5,18367.0,49.9,19.5,80.5
154,166,50.4,181.0,KCMO,2.6,57.1,39531.0,0.0,100.0,0.0
155,55,36.4,182.0,KCMO,0.0,93.6,166886.0,0.0,100.0,0.0
156,0,0.0,9801.01,KCMO,0.0,0.0,0.0,0.0,0.0,0.0
157,7950,37.1,300.01,KCMO,27.8,39.9,69332.0,10.9,65.7,34.3
158,0,0.0,300.02,KCMO,0.0,0.0,0.0,0.0,0.0,0.0
159,389,40.7,301.01,KCMO,5.0,25.7,68368.0,6.6,92.9,7.1
160,2991,34.2,301.02,KCMO,30.7,46.7,71961.0,9.0,57.4,42.6
161,2713,36.4,301.03,KCMO,29.3,29.2,46059.0,12.6,51.5,48.5
162,1935,38.0,302.01,KCMO,11.6,54.1,97200.0,5.8,82.4,17.6
163,6932,37.7,302.05,KCMO,22.0,38.6,53279.0,5.6,44.2,55.8
164,4145,41.8,302.07,KCMO,15.8,41.3,63954.0,8.3,58.7,41.3
165,49,55.1,302.08,KCMO,61.0,38.7,14143.0,0.0,35.0,65.0
166,7259,36.0,302.09,KCMO,18.7,41.3,65856.0,6.4,68.8,31.2
167,2097,29.3,302.1,KCMO,25.4,45.2,98831.0,9.0,73.5,26.5
168,2758,33.6,302.11,KCMO,25.3,31.2,45291.0,6.5,23.2,76.8
169,41,30.6,303.05,KCMO,0.0,0.0,47500.0,0.0,0.0,100.0
170,0,0.0,303.06,KCMO,0.0,0.0,0.0,0.0,0.0,0.0
171,0,0.0,303.07,KCMO,0.0,0.0,0.0,0.0,0.0,0.0
172,4718,36.0,303.08,KCMO,23.6,45.7,56537.0,8.2,54.6,45.4
173,279,43.5,306.0,KCMO,10.2,7.8,23724.0,0.0,49.1,50.9
