property_id,property_name_text,address_line1_text,city_name_text,state_code,zip_code,property_total_unit_count
800007304,ST. REGIS APARTMENTS                              ,1400 E. Linwood Blvd.                        ,KANSAS CITY                 ,MO,64109,85
800011418,ALCAZAR APARTMENTS                                ,101 W 39TH ST                                ,KANSAS CITY                 ,MO,64111,142
800011419,ALEXANDRIA APTS                                   ,1328 E ARMOUR BLVD                           ,KANSAS CITY                 ,MO,64109,55
800011440,AVON APTS                                         ,3015 PASEO BLVD                              ,KANSAS CITY                 ,MO,64109,44
800011443,AB Apartments                                     ,900 E. ARMOUR                                ,KANSAS CITY                 ,MO,64109,306
800011451,BETHEL GREENCASTLE SENIOR HOUSING                 ,4100 N BRIGHTON                              ,KANSAS CITY                 ,MO,64117,31
800011452,BETHEL GREENCASTLE SOUTH                          ,4040 N BRIGHTON                              ,KANSAS CITY                 ,MO,64117,44
800011455,BIRCH HOUSE                                       ,1603 SPRUCE AVE                              ,KANSAS CITY                 ,MO,64127,11
800011457,Charter Landing                                   ,6009 Blue Hills Rd Apt 3                     ,Kansas City                 ,MO,64110,109
800011459,BLUE VALLEY COURT APTS                            ,2009 Park Tower Dr                           ,Kansas City                 ,MO,64126,165
800011469,BRIGHTON PLACE APARTMENTS                         ,2429 BRIGHTON AVE                            ,KANSAS CITY                 ,MO,64127,32
800011488,CATHEDRAL SQUARE TOWERS                           ,444 W 12TH ST                                ,KANSAS CITY                 ,MO,64105,156
800011501,NORTHWOODS                                        ,3400 NW 69TH TER                             ,KANSAS CITY                 ,MO,64151,101
800011508,OLIVE PARK VILLAGE                                ,2310 E 9th St                                ,Kansas City                 ,MO,64124,137
800011513,CLOVERLEAF APTS                                   ,14554 S US HWY 71                            ,KANSAS CITY                 ,MO,64147,204
800011521,COLUMBUS PARK PLAZA                               ,801 Pacific ST                               ,KANSAS CITY                 ,MO,64106,56
800011558,EAST HILLS VILLAGE                                ,7575 Monroe Ave                              ,Kansas City                 ,MO,64132,110
800011567,ENGLEWOOD APARTMENTS                              ,5432 NW WAUKOMIS DR                          ,KANSAS CITY                 ,MO,64151,153
800011580,FREEWAY PLAZA HOMES                               ,1328 Park Ave                                ,Kansas City                 ,MO,64127,64
800011582,FRIENDSHIP VILLAGE APARTMENTS                     ,3901 E. 56th  Terrace                        ,KANSAS CITY                 ,MO,64130,144
800011590,GOLDEN OAKS                                       ,4319 N. Holmes St.                           ,KANSAS CITY                 ,MO,64116,130
800011592,GOOD SHEPHERD MANOR                               ,10725 GREENWOOD RD                           ,KANSAS CITY                 ,MO,64134,20
800011594,GOTHAM APTS                                       ,2718 E LINWOOD BLVD E                        ,KANSAS CITY                 ,MO,64128,105
800011641,HYDE PARK APTS                                    ,336 W 36TH ST                                ,KANSAS CITY                 ,MO,64111,76
800011647,IVANHOE GARDENS                                   ,2012 E 38th St                               ,KANSAS CITY                 ,MO,64109,80
800011654,JEFFERSON MANOR                                   ,6242 N PENNSYLVANIA                          ,KANSAS CITY                 ,MO,64118,87
800011671,Gabriel Tower Apartments                          ,1600 JACKSON AVE                             ,KANSAS CITY                 ,MO,64127,126
800011687,LAWNDALE HEIGHTS                                  ,1400 TOPPING AVE                             ,KANSAS CITY                 ,MO,64126,123
800011688,ST. JAMES PLACE                                   ,6138 CITADEL DR                              ,KANSAS CITY                 ,MO,64110,56
800011715,ASHLEY PARK APTS.                                 ,6421 Manchester Avenue                       ,KANSAS CITY                 ,MO,64133,184
800011721,MARLBOROUGH MANOR                                 ,1818 E 79TH ST                               ,KANSAS CITY                 ,MO,64132,31
800011727,MAYFAIR LINWOOD                                   ,1224 E LINWOOD BLVD                          ,KANSAS CITY                 ,MO,64109,60
800011739,MID-CITY TOWERS II                                ,3136 FLORA                                   ,KANSAS CITY                 ,MO,64109,72
800011758,New Horizons                                      ,1715 E Linwood Blvd                          ,Kansas City                 ,MO,64109,35
800011776,NOWLIN HALL                                       ,1905 HARDESTY ST                             ,KANSAS CITY                 ,MO,64127,163
800011792,OPPORTUNITIES PAVILION                            ,11600-B HOLIDAY DR                           ,KANSAS CITY                 ,MO,64134,81
800011793,PALESTINE GARDENS                                 ,2627 E 33RD ST                               ,KANSAS CITY                 ,MO,64128,58
800011794,PALESTINE GARDENS NORTH                           ,3300 MONTGALL                                ,KANSAS CITY                 ,MO,64128,60
800011796,PARACLETE MANOR                                   ,4725 PROSPECT ST                             ,KANSAS CITY                 ,MO,64130,120
800011802,PARKER SQUARE                                     ,1051 BASIE ST                                ,KANSAS CITY                 ,MO,64106,204
800011813,PARVIN ESTATES                                    ,4033 NORTH BELLAIRE AVE                      ,KANSAS CITY                 ,MO,64117,300
800011815,PASEO EAST                                        ,4327 PASEO BLVD                              ,KANSAS CITY                 ,MO,64110,4
800011817,PENN PLACE                                        ,3915 PENNSYLVANIA                            ,KANSAS CITY                 ,MO,64111,9
800011818,PENNBROOKE APTS                                   ,604 W 10TH ST                                ,KANSAS CITY                 ,MO,64105,65
800011824,POSADA DEL SOL                                    ,1735 SUMMIT                                  ,KANSAS CITY                 ,MO,64108,61
800011827,PRAIRIE MANOR                                     ,8710 Sni A Bar RD                            ,KANSAS CITY                 ,MO,64129,16
800011838,WINFIELD PLACE                                    ,2610 E 11TH ST                               ,KANSAS CITY                 ,MO,64127,50
800011839,RED BRIDGE PLACE                                  ,11300 COLORADO AVE                           ,KANSAS CITY                 ,MO,64137,46
800011858,WOODBRIDGE APARTMENTS II                          ,3443 Wyoming St                              ,Kansas City                 ,MO,64111,77
800011858,WOODBRIDGE APARTMENTS II                          ,3443 Wyoming St                              ,Kansas City                 ,MO,64111,77
800011877,SAVE Development                                  ,3249 Holmes St                               ,Kansas City                 ,MO,64109,28
800011885,Plaza Apartments I                                ,7777 HOLMES RD                               ,KANSAS CITY                 ,MO,64131,126
800011886,Plaza II Apartments                               ,7777 HOLMES RD                               ,KANSAS CITY                 ,MO,64131,65
800011917,SYCAMORE GROVES                                   ,2920 E 17TH ST                               ,KANSAS CITY                 ,MO,64127,179
800011918,SYCAMORE/ELMS GROUP HOMES                         ,2312 E 6TH ST                                ,KANSAS CITY                 ,MO,64124,22
800011926,NORTHEAST VIEW APARTMENTS                         ,222 GARFIELD ST                              ,KANSAS CITY                 ,MO,64124,138
800011927,THE CEDARS                                        ,2220 E 8TH ST                                ,KANSAS CITY                 ,MO,64124,11
800011933,THE VILLAS                                        ,1300 E ARMOUR BLVD                           ,KANSAS CITY                 ,MO,64109,18
800011938,TREMONT PLACE                                     ,6161 N. Chatham Ave.                         ,KANSAS CITY                 ,MO,64151,50
800011956,VICTORIA ARMS                                     ,6311 Woodland                                ,KANSAS CITY                 ,MO,64131,124
800011965,WALNUT GROVE I                                    ,3121 N.E. 37th STREET                        ,KANSAS CITY                 ,MO,64117,48
800011966,WALNUT GROVE II                                   ,3121 N.E. 37TH STREET                        ,KANSAS CITY                 ,MO,64117,80
800011967,WALNUT GROVE III                                  ,3121 N.E. 37TH STREET                        ,KANSAS CITY                 ,MO,64117,56
800011973,WILLOW ESTATES                                    ,4800 S. Hocker Rd.                           ,KANSAS CITY                 ,MO,64136,40
800011985,WESTPORT HOUSE                                    ,4020 MILL STREET                             ,KANSAS CITY                 ,MO,64124,90
800011992,WOODLEN PLACE                                     ,1315 E. 89TH STREET                          ,KANSAS CITY                 ,MO,64131,60
800011995,WORNALL ESTATES                                   ,13201 WORNALL RD                             ,KANSAS CITY                 ,MO,64145,30
800043072,GREENLEAF APTS                                    ,5224 EAST 12TH                               ,KANSAS CITY                 ,MO,64127,195
800071142,THE WOODLANDS AT CITADEL                          ,1770 Citadel Dr                              ,Kansas City                 ,MO,64110,60
800071266,SAVE Housing                                      ,3050 HARRISON ST                             ,KANSAS CITY                 ,MO,64109,12
800071269,SAVE Residential                                  ,703 E. 30th St.                              ,KANSAS CITY                 ,MO,64109,7
800211632,NBA Cole Place                                    ,11301 Grandview Road                         ,KANSAS CITY                 ,MO,64137,65
800213289,L&C Brown Opportunity Apts                        ,5884 NE Russell Rd                           ,Kansas City                 ,MO,64117,18
800213292,HOLIDAY DRIVE PLACE                               ,6807 East 117th Street                       ,KANSAS CITY                 ,MO,64134,18
800215366,SWOPE RIDGE GARDENS                               ,3421 E. 59th Street                          ,KANSAS CITY                 ,MO,64130,58
800215382,CHOUTEAU VILLAGE                                  ,3701 N. Jackson Avenue                       ,KANSAS CITY                 ,MO,64117,59
800215386,Spruce Landing                                    ,5701 NE Parvin Road                          ,Kansas City                 ,MO,64119,18
800217832,Rosewood Apartments                               ,3251 Forest Ave                              ,Kansas City                 ,MO,64109,15
800219461,VINE STREET MANOR at BETHEL SQUARE                ,2300-2328 Vine Street                        ,Kansas City                 ,MO,64108,60
800222593,Good Shepherd Village                             ,10100 James A. Reed Road                     ,Kansas City                 ,MO,64134,11
800224176,Summit Apartments                                 ,855 Brooklyn Ave                             ,Kansas City                 ,MO,64124,15
800224984,Destiny Towers                                    ,4250 N. Newton                               ,Kansas City                 ,MO,64117,47
800224986,St. Joseph Place                                  ,1900 E 10th St                               ,Kansas City                 ,MO,64127,46
800226414,Swope Gardens                                     ,3830 E 60th St                               ,Kansas City                 ,MO,64130,15
800235721,7540 Washington Apartments aka reStart            ,7540 Washington St                           ,Kansas City                 ,MO,64114,14
